cpt_code,description,facility_rate
11732,Avlsn nail plate simple each,15.105375000000002
11740,Evacuation subungual hmtma,31.55345
11750,Excision nail&nail matrix,94.66035000000001
11755,Biopsy nail unit,54.715025
11760,Repair of nail bed,104.394925
11762,Reconstruction of nail bed,175.89370000000002
11765,Wedge excision skn nail fold,89.625225
11770,Exc pilonidal cyst simple,181.93585000000002
11771,Exc pilonidal cyst xtnsv,444.09802500000006
11772,Exc pilonidal cyst comp,576.3539750000001
11900,Inject skin lesions </w 7,24.1686
11901,Inject skin lesions >7,36.588575000000006
11920,Correct skin color 6.0 cm/<,103.052225
11921,Correct skn color 6.1-20.0cm,116.47922500000001
11922,Correct skin color ea 20.0cm,24.504275
11950,Subq njx filling matrl 1cc/<,44.644775
11951,Subq njx fil matrl 1.1-5.0cc,62.435550000000006
11952,Subq njx fil matrl 5.1-10cc,87.94685000000001
11954,Subq njx fil matrl>10.0 cc,96.6744
11960,Insert tissue expander(s),952.9813250000001
11970,Rplcmt tiss xpndr perm implt,519.9605750000001
11971,Rmvl tis xpndr wo insj implt,518.2822
11976,Remove contraceptive capsule,80.562
11980,Implant hormone pellet(s),48.672875000000005
11981,Insertion drug dlvr implant,55.0507
11982,Remove drug implant device,63.442575000000005
11983,Remove/insert drug implant,89.28955
12001,Rpr s/n/ax/gen/trnk 2.5cm/<,44.30910000000001
12002,Rpr s/n/ax/gen/trnk2.6-7.5cm,57.7361
12004,Rpr s/n/ax/gen/trk7.6-12.5cm,72.50580000000001
12005,Rpr s/n/a/gen/trk12.6-20.0cm,90.296575
12006,Rpr s/n/a/gen/trk20.1-30.0cm,109.765725
12007,Rpr s/n/ax/gen/trnk >30.0 cm,134.605675
12011,Rpr f/e/e/n/l/m 2.5 cm/<,54.715025
12013,Rpr f/e/e/n/l/m 2.6-5.0 cm,56.057725000000005
12014,Rpr f/e/e/n/l/m 5.1-7.5 cm,72.50580000000001
12015,Rpr f/e/e/n/l/m 7.6-12.5 cm,90.63225000000001
12016,Rpr fe/e/en/l/m 12.6-20.0 cm,122.85705000000002
12017,Rpr fe/e/en/l/m 20.1-30.0 cm,155.08185
12018,Rpr f/e/e/n/l/m >30.0 cm,174.88667500000003
12020,Tx supfc wnd dehsn smpl clsr,179.586125
12021,Tx supfc wnd dehsn w/packing,135.277025
12031,Intmd rpr s/a/t/ext 2.5 cm/<,133.93432500000003
12032,Intmd rpr s/a/t/ext 2.6-7.5,165.82345000000004
12034,Intmd rpr s/tr/ext 7.6-12.5,180.928825
12035,Intmd rpr s/a/t/ext 12.6-20,225.5736
